Max,Min,WL,Mean,RMS,Var,WAMP,SSC,Log,MaxF,MinF,WLF,MeanF,RMSF,VarF,WAMPF,SSCF,LogF,class
268,2,1206,159.16,30660.96,5382.883,0,28,9.67508,3500.2678,5.000008,18518.268,208.47389,183972.58,141930.53,3,83,9.944984,1
305,4,1447,175.81,35846.73,4987.4473,0,33,9.774574,4104.858,6.0000095,20208.107,234.8761,233154.8,179785.92,1,84,10.064228,1
287,6,1405,168.87,32689.55,4214.6177,0,35,9.7343,3913.935,6.2889915,20448.479,233.19771,221312.45,168617.47,3,83,10.057056,1
270,5,1288,155.06,27606.4,3598.7842,0,25,9.648982,3213.881,5.660076,19057.742,211.86249,158433.81,114695.06,3,87,9.961107,1
364,1,1469,206.62,50778.2,8168.0557,0,25,9.936051,8146.0757,9.000017,31166.42,322.4676,818097.94,721325.8,1,81,10.381173,1
302,5,1445,182.01,39203.11,6136.84,0,26,9.809232,4709.45,7.9555674,23950.861,256.7829,318502.7,255116.4,3,82,10.153401,1
288,3,1404,198.24,44254.76,5005.719,0,37,9.894649,6141.3765,7.509641,27980.678,302.94324,511463.7,423928.3,3,88,10.318716,1
267,5,1534,183.91,37831.11,4048.709,0,36,9.819616,6014.0947,7.138028,26236.52,285.65054,474061.25,396429.28,1,82,10.259939,1
319,5,1460,186.57,40475.57,5724.4507,0,33,9.833977,5568.606,8.640826,25159.693,272.92264,411798.25,340718.62,1,84,10.214358,1
276,12,1283,146.25,26743.79,5408.8154,0,29,9.5904875,4804.9116,6.697753,20934.629,227.9071,305529.5,256149.33,1,76,10.034108,1
251,1,1308,160.89,29324.09,3473.2297,0,33,9.685891,3341.164,6.347083,18166.637,211.00441,161807.62,118469.46,1,86,9.957049,1
313,2,1576,196.89,44784.91,6080.038,0,34,9.887815,5600.427,8.552994,25190.621,275.36136,404437.9,331933.4,1,87,10.223254,1
271,4,1463,172.69,33303.41,3516.7412,0,34,9.756668,4359.423,5.907159,22786.613,250.22766,270641.44,210128.84,3,85,10.127542,1
228,2,1397,151.97,25442.11,2370.9377,0,34,9.628853,4613.988,4.779611,20772.834,229.88481,279188.97,228628.27,1,80,10.042748,1
276,5,1564,197.07,42855.75,4059.7607,0,40,9.888729,6714.149,7.578271,28894.39,314.7589,604903.75,510939.97,3,83,10.356977,1
360,2,1714,225.96,56659.24,5657.8984,0,32,10.025528,7255.098,9.61492,32872.977,347.26114,699997.75,585260.06,3,87,10.455247,1
281,1,1501,199.65,43166.77,3340.0493,0,36,9.901736,5409.5044,7.2896914,27459.502,299.04578,422363.7,336298.3,3,83,10.305767,1
288,9,1617,207.17,46261.05,3375.3958,0,44,9.93871,5918.635,6.1899686,29350.094,322.82874,493972.2,393690.78,3,85,10.382292,1
334,1,1469,191.4,44360.66,7804.75,0,24,9.859535,5791.3506,4.000005,25012.559,272.76547,450768.97,380169.62,3,80,10.213782,1
248,2,1287,146.68,24342.1,2855.6328,0,27,9.593424,4995.836,5.817333,21379.287,230.08351,336261.4,286184.84,3,79,10.0436125,1
287,1,1297,175.05,35014.89,4416.5522,0,30,9.770242,2863.8547,7.3581667,19261.697,220.67627,138676.77,90887.61,3,85,10.001867,1
375,1,1415,182.66,39023.76,5716.2456,0,21,9.812797,3691.1907,8.515139,21965.537,240.30623,210344.4,154138.7,3,83,10.087084,1
210,9,1033,136.93,21364.11,2640.6921,0,30,9.52464,5218.5786,4.9960046,20721.12,224.72166,342823.8,295276.72,1,79,10.020033,1
256,1,1192,155.79,29207.27,4986.612,0,24,9.653679,6014.0947,6.0000095,22263.793,240.5329,451829.97,397953.4,3,80,10.088027,1
212,10,1098,139.78,21595.34,2077.6687,0,33,9.54524,5027.6567,5.4044266,22300.746,239.4289,340785.2,286322.3,3,81,10.083426,1
214,7,1168,145.98,24164.82,2883.4949,0,26,9.58864,5250.3994,4.744581,22305.55,237.19789,361950.1,308775,3,77,10.074065,1
226,6,1350,142.98,23130.28,2714.1414,0,34,9.567875,4773.0903,5.974529,20564.29,221.04778,295609.44,249239.7,1,80,10.003549,1
261,4,1138,149.59,26796.61,4464.0845,0,29,9.613069,4200.3193,6.3833084,20454.416,217.60925,244145.05,198779.03,2,79,9.987871,1
271,1,1373,164.06,31649.04,4781.168,0,28,9.705402,4645.8086,6.792089,21601.59,232.45074,291887.4,240256.62,3,82,10.053848,1
274,12,1709,180.56,36295.6,3730.996,0,34,9.801233,3022.9575,5.750076,20930.34,249.0985,173430.44,112505.414,3,91,10.123018,1
277,2,1141,162.77,31867.31,5427.5127,0,30,9.697509,4454.8843,2.0000024,20683.66,223.72937,268632.5,220785.52,3,83,10.015608,1
221,1,1246,144.76,23754.78,2827.5981,0,34,9.580247,2386.5452,5.907159,17152.703,189.40244,101630.65,66421.59,3,91,9.849044,1
291,13,1237,153.51,27851.95,4329.93,0,25,9.638936,3627.549,4.8388543,18340.396,218.25285,187671.66,141451.84,1,82,9.990825,1
244,14,1252,160.74,28511.42,2701.0828,0,32,9.684958,5345.8623,6.729234,23269.973,255.91313,367333.2,304890.6,1,81,10.150008,1
286,6,1305,163.27,30927.45,4313.4917,0,26,9.700576,6873.2505,5.970041,23345.883,257.8869,554019.6,492438.38,1,83,10.157691,1
286,3,1273,180.32,38060.54,5601.2515,0,24,9.799903,5282.22,8.081362,24123.799,261.0841,384899.38,319933.8,3,84,10.170012,1
295,2,1364,172.58,33509.7,3763.4792,0,31,9.756031,5154.939,6.037449,22661.338,254.01138,343926.56,282227.03,1,87,10.1425495,1
265,1,1514,177.66,34755.08,3224.247,0,33,9.785042,4550.347,6.127117,23113.418,260.68683,303378.47,237798.78,3,87,10.16849,1
